match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
48,2021-22,Round 8,Zebre,Benetton,14,39,Stadio Sergio Lanfranchi,2021-12-24,-21.8,10.4,32.2,30.0,0,-8.4,18.2,26.6,21.0,0,-9.40962,-3.1388736,-6.2707464,-13.4,9.0,0,0,0,-25,0
49,2021-22,Round 9,Scarlets,Ospreys,22,19,Parc y Scarlets,2022-01-01,-8.0,24.0,32.0,30.0,0,-5.0,19.4,24.4,28.0,0,-3.23242,-1.1649554000000004,-2.067464599999999,-3.0,2.0,0,0,0,3,1
50,2021-22,Round 9,Connacht,Munster,10,8,Galway Sportsgrounds,2022-01-01,2.0,28.2,26.2,29.0,0,13.0,29.8,16.8,30.0,0,2.4991614,4.37294,-1.8737785999999996,-11.0,-1.0,0,0,0,2,1
51,2021-22,Round 10,Glasgow,Ospreys,38,19,Scotstoun Stadium,2022-01-08,3.4,19.2,15.8,30.0,0,-2.8,20.6,23.4,7.0,0,0.7202175999999999,-1.0717018600000003,1.7919194600000004,6.199999999999999,23.0,0,0,0,19,1
52,2021-22,Round 10,Edinburgh,Cardiff,34,10,Edinburgh Rugby Stadium,2022-01-08,10.8,23.6,12.8,30.0,0,1.2,24.0,22.8,30.0,0,3.3011936,-1.5392400000000002,4.8404336,9.600000000000001,0.0,0,0,0,24,1
53,2021-22,Round 10,Munster,Ulster,18,13,Thomond Park,2022-01-08,7.6,23.0,15.4,7.0,0,3.0,19.6,16.6,30.0,0,4.58556214,4.0718974,0.5136647400000003,4.6,-23.0,0,0,0,5,1
54,2021-22,Round 8,Lions,Sharks,37,47,Ellis Park Stadium,2022-01-22,-2.6,21.4,24.0,30.0,0,-2.8,23.0,25.8,30.0,0,2.25368,0.5595400000000001,1.69414,0.19999999999999973,0.0,0,1,0,-10,0
55,2021-22,Round 8,Bulls,Stormers,26,30,Loftus Versfeld Stadium,2022-01-22,-13.2,13.0,26.2,30.0,0,-4.8,19.8,24.6,30.0,0,-2.58414,-0.5176799999999999,-2.06646,-8.399999999999999,0.0,0,1,0,-4,0
56,2021-22,Round 11,Ulster,Scarlets,27,15,Ravenhill Stadium,2022-01-28,-2.0,16.6,18.6,20.0,0,-6.6,24.0,30.6,27.0,0,4.223263874000001,-3.32567354,7.548937414000001,4.6,-7.0,0,0,0,12,1
57,2021-22,Round 11,Dragons,Benetton,13,13,Rodney Parade,2022-01-28,-7.6,20.4,28.0,30.0,0,0.6,24.4,23.8,30.0,0,-3.914057600000001,-0.6659482400000001,-3.248109360000001,-8.2,0.0,0,0,0,0,0
